Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
Blackberry Pie,4.64285714285714,14,"['Euphoric 100', 'Relaxed 94.1176470588235', 'Sleepy 58.8235294117647', 'Tingly 58.8235294117647', 'Creative 37.2549019607843', 'Pain 100', 'Depression 83.3333333333333', 'Headaches 83.3333333333333', 'Lack of Appetite 83.3333333333333', 'Stress 83.3333333333333', 'Dry Eyes 100', 'Dry Mouth 100']","Blackberry Pie is a hybrid cross of Jojorizo’s Blackberry Widow and a Crystal Locomotive created by Gage Green Genetics. This hybrid is easy to grow and all phenotypes present the potency and high resin content you would expect given its White Widow and Trainwreck heritage. A beautiful and aromatic plant featuring flowers with deep purple hues and ample trichomes, Blackberry Pie offers a nice blend of heady euphoria with a medicinal body high.","['Sweet', 'Blueberry', 'Berry']","[100.0, 58.2278481012658, 0.0, 0.0, 0.0, 0.0]",18.0,0.5
Blackberry Rhino,4.33333333333333,30,"['Relaxed 100', 'Happy 62.5', 'Uplifted 50', 'Creative 37.5', 'Euphoric 31.25', 'Stress 100', 'Pain 87.5', 'Insomnia 75', 'Muscle Spasms 62.5', 'Depression 50', 'Dry Mouth 100', 'Dry Eyes 75', 'Anxious 50', 'Dizzy 25', 'Paranoid 25']","Blackberry Rhino, also called Blackberry White, is a berry-flavored indica strain that combines Blackberry and White Rhino. Sometimes our indicas surprise us with uplifting, clear-headed effects, and you can count Blackberry Rhino among those subtly invigorating strains. Head-to-toe relaxation pours in over time, bringing relief to patients with pain, insomnia, appetite loss, and nausea.","['Berry', 'Sweet', 'Spicy/Herbal']","[100.0, 58.8477366255144, 41.1522633744856, 0.0, 0.0, 5.96707818930041]",,0.89
Blackberry Snow Cone,4.0,1,"['Aroused 100', 'Creative 100', 'Giggly 100', 'Depression 100', 'Eye Pressure 100', 'Muscle Spasms 100']","Bred by Jack Davis, Blackberry Snow Cone is hybrid strain that will remind you of picking fresh blackberries on a warm summer evening. Created by crossing Tri-Cities Blackberry Kush with Snow Cone, this strain produces crystal coated colas with purple hues. The flavor is fruity and smooth with creamy undertones, while the high takes you into calm euphoria. Blackberry Snow Cone is perfect for any consumer who loves fruity strains that pack a punch.","['Peach', 'Pungent']","[0.0, 100.0, 0.0, 0.0, 0.0, 0.0]",,0.8
Blackberry Trainwreck,4.28,25,"['Relaxed 100', 'Euphoric 22.5352112676056', 'Focused 21.1267605633803', 'Tingly 19.0140845070423', 'Hungry 17.6056338028169', 'Pain 100', 'Headaches 76.4705882352941', 'Stress 29.4117647058824', 'Depression 11.7647058823529', 'Insomnia 11.7647058823529', 'Headache 100', 'Dry Mouth 12.962962962963', 'Dizzy 12.037037037037', 'Dry Eyes 11.1111111111111', 'Anxious 11.1111111111111']","Blackberry Trainwreck, or Blackberry Wreck, is a hybrid strain parented by two notable varieties, Blackberry Kush and Trainwreck. Led by indica genetics, Blackberry Trainwreck typically grows into chunky, dense conic buds that offer a sweet and earthy mix of berry flavors. Tension and stress melt away from the body on the exhale while the mind elevates to lighthearted positivity.","['Berry', 'Flowery', 'Sweet']","[73.3075435203095, 100.0, 13.3462282398453, 6.57640232108317, 0.0, 0.0]",18.0,0.5
Blackberry x Blueberry,4.28125,32,"['Relaxed 100', 'Happy 78.134110787172', 'Sleepy 69.8250728862974', 'Euphoric 69.8250728862974', 'Uplifted 67.201166180758', 'Pain 100', 'Stress 91.5254237288136', 'Depression 77.9661016949153', 'Insomnia 71.1864406779661', 'Lack of Appetite 38.9830508474576', 'Dry Mouth 100', 'Dry Eyes 53.0949105914718', 'Dizzy 52.2696011004127', 'Headache 8.66574965612105', 'Paranoid 7.01513067400275']","This dense crystal-covered indica strain by LivWell is a mix of Blackberry and DJ Short’s Blueberry. Blackberry x Blueberry tends to have a hashy Afghani aroma and flavor balanced by sweet berries and skunk. Thanks to its strong indica body effects, this strain is often recommended for treatment of pain.","['Blueberry', 'Berry', 'Sweet']","[100.0, 79.2, 4.2, 16.6, 0.0, 0.0]",16.0,0.7
Blackwater,4.6182902584493,513,"['Relaxed 100', 'Sleepy 73.0846767552326', 'Happy 70.0913768454895', 'Uplifted 40.7934698825343', 'Euphoric 39.7746213493731', 'Stress 100', 'Insomnia 86.5775001697332', 'Pain 77.4825174825175', 'Depression 55.5258333899111', 'Lack of Appetite 43.486319505737', 'Dry Mouth 100', 'Dry Eyes 54.5415974260156', 'Headache 35.890817805749', 'Paranoid 29.2083583778241', 'Anxious 25.7315937724664']","Blackwater is an indica strain typically bred from Mendo Purps and San Fernando Valley OG Kush. Its round, compact buds take on a deep purple color and a sweet grape aroma that blends with subtle undertones of lemon and pine. What begins as a mellow and euphoric cerebral experience melts down to the rest of the body in a head-to-toe euphoric calm that relieves stress and anxiety. Patients have also reported its success in treating pain, appetite loss, and multiple sclerosis. This strain is recommended for late-night consumption as it can cause mental cloudiness and detract from productivity. Blackwater has a flowering time of 8 to 10 weeks and produces moderate yields in indoor, outdoor, and greenhouse gardens. The 2014 Los Angeles Cannabis Cup awarded Blackwater 3rd place in the indica category.","['Berry', 'Sweet', 'Flowery']","[100.0, 35.0591715976331, 6.95266272189349, 1.62721893491124, 1.62721893491124, 2.51479289940828]",17.0,0.7
Blaze,4.142857142857141,12,"['Euphoric 100', 'Energetic 93.75', 'Aroused 87.5', 'Talkative 15.625', 'Creative 15.625', 'Pain 100', 'Stress 100', 'Headaches 60', 'Depression 20', 'Inflammation 20', 'Dry Mouth 100', 'Dry Eyes 66.6666666666667', 'Headache 66.6666666666667']","British Columbia Seed Company crossed the indica Blueberry with Haze in order to tame this lanky, long-flowering Blaze. This large sativa-dominant plant combines the soaring cerebral high and sweet-spicy smell of Haze, while getting shorter flowering times and a distinct dried-grape aroma from Blueberry. Blaze is closely related to Blueberry Haze and Blue Dream.","['Blueberry', 'Sweet', 'Spicy/Herbal']","[100.0, 69.9579831932773, 30.0420168067227, 0.0, 10.0840336134454, 0.0]",20.0,0.0
Blessings OG,,0,[],"Created by Gage Green Genetics, Blessings OG is a hybrid cross between Allure OG and Joseph OG. Drawing from the classic diesel and kush flavor profile of Joseph OG, Blessings OG accentuates fruity properties from Allure OG that make this a must-try for any OG connoisseur looking for a full body high.",[],[],,0.42
Bleugenius,,0,[],"Bred by Eugenius, Bleugenius is a select CBD-dominant flower that provides clear-headed and calming effects. It has gorgeous, fluffy, dark green buds consisting of dark purple hues with a lovely coat of crystal resin. Bleugenius has a muddy and dank citrus scent that transitions to a floral berry aroma once ground up. However, it has a woody and grassy taste.",[],[],,0.58
Blissful Wizard,4.8493150684931505,73,"['Euphoric 100', 'Uplifted 93.7171743697479', 'Focused 85.9900210084034', 'Relaxed 84.4012605042017', 'Energetic 78.985031512605', 'Depression 100', 'Stress 93.6988752556237', 'Pain 61.9248466257669', 'Fatigue 50.7029652351738', 'Insomnia 23.4534764826176', 'Paranoid 100', 'Dizzy 67.5544794188862', 'Anxious 66.2227602905569', 'Dry Mouth 58.2808716707022', 'Dry Eyes 54.2857142857143']","Blissful Wizard by The Captain’s Connection is a potent hybrid strain that crosses Captain's Cookies and Girl Scout Cookies in a decadent fusion of lemon, lime, and cream flavors. With a soaring THC content that won this strain 1st place in the 2015 SoCal Cannabis Cup as a non-solvent hash, Blissful Wizard is the only healing potion you’ll need to eliminate stubborn aches, pains, nausea, and appetite loss. This flavorful hybrid helps conjure a happy headspace in which life’s stressors are obliterated by a blast of otherworldly euphoria.","['Earthy', 'Lemon', 'Lime']","[100.0, 16.4634146341463, 2.68292682926829, 0.0, 2.68292682926829, 0.0]",,0.4
Blizzard Bush,5.0,1,"['Talkative 100', 'Uplifted 100', 'Creative 100', 'Energetic 100', 'Euphoric 100', 'Depression 100', 'Fatigue 100', 'Inflammation 100', 'Pain 100', 'Stress 100', 'Dry Eyes 100', 'Dry Mouth 100']","Blizzard Bush by Greenpoint Seeds is a resinous hybrid cross of Pura Vida and Stardawg. This beautiful strain’s copious coating of resin gives the plant’s lush foliage a diamond-like shimmer. It offers larger-than-average yields with creamy marshmallow aromas smeared with fuel and, oddly enough, cured meats. Enjoy Blizzard Bush’s mood elevation and stress relief throughout the day to combat lethargy and depression.","['Flowery', 'Earthy', 'Pungent']","[100.0, 0.0, 100.0, 0.0, 0.0, 0.0]",,0.47
Blob OG,4.75,9,"['Euphoric 100', 'Relaxed 100', 'Talkative 75', 'Uplifted 75', 'Creative 75', 'Depression 100', 'Stress 100', 'Fatigue 33.3333333333333', 'Headaches 33.3333333333333', 'Inflammation 33.3333333333333', 'Dry Mouth 100', 'Dry Eyes 75', 'Dizzy 25', 'Headache 25']","Blob OG is supposedly a strain that originated in Western Washington. The heavy hitting, body-driven strain incorporates the stimulating mental elements of Diesel crossed against the potent indica-dominant genetics of Pre-99 Chemdawg. This cross offers lightness in the body and a mental edge from the Diesel. Because it can stretch toward 30% THC, sativa-dominant hybrid or not, this much potency will absolutely put the uninitiated consumer down for the count.","['Pine', 'Citrus', 'Earthy']","[100.0, 9.70654627539503, 3.27313769751693, 0.0, 0.0, 0.0]",,0.6
Blockhead,4.16666666666667,72,"['Relaxed 100', 'Happy 82.1621621621622', 'Sleepy 81.6216216216216', 'Talkative 47.2972972972973', 'Euphoric 37.2972972972973', 'Insomnia 100', 'Depression 98.3870967741936', 'Lack of Appetite 94.6236559139785', 'Pain 11.8279569892473', 'Stress 10.752688172043', 'Dry Mouth 100', 'Dry Eyes 15.7894736842105', 'Dizzy 7.89473684210526', 'Headache 6.57894736842105', 'Paranoid 2.63157894736842']","An indica-dominant hybrid, Blockhead is not for the inexperienced user. Powerful physical effects typical of indica strains are accompanied by intense psychoactive effects that deem this strain unfit for those who are looking for a lot of social activity. Alternatively, this brown earthy flower is optimal for pain relief and sedative relaxation. For the experienced connoisseur who appreciates and respects power, this robust strain could easily become a favorite.","['Earthy', 'Sweet', 'Pungent']","[100.0, 93.8005390835579, 39.3530997304582, 2.96495956873315, 5.92991913746631, 27.2237196765499]",22.0,0.575
Bloo's Kloos,4.684210526315789,15,"['Energetic 100', 'Focused 97.5', 'Relaxed 42.5', 'Uplifted 40', 'Happy 40', 'Stress 100', 'Headaches 92.3076923076923', 'Pain 7.69230769230769', 'Cramps 3.84615384615385', 'Eye Pressure 3.84615384615385']","Bloo’s Kloos is a playful indica with a carefree buzz that encourages laughter. This three-way cross of Larry OG, Blueberry, and Northern Lights imbues Bloo's with earthy and fruity terpenes that turn sweet when consumed. Created by Mr. Mack out of Las Vegas, this strain leaves the mind clear and the body free of aches and pains.","['Sweet', 'Berry', 'Blueberry']","[100.0, 11.0851808634772, 0.0, 0.0, 5.60093348891482, 0.0]",,0.89
Blood Orange Kush,4.73684210526316,19,"['Happy 100', 'Relaxed 86.5384615384615', 'Uplifted 78.8461538461539', 'Tingly 73.0769230769231', 'Energetic 67.3076923076923', 'Depression 100', 'Stress 100', 'Pain 52.1739130434783', 'Inflammation 34.7826086956522', 'Insomnia 30.4347826086957', 'Dry Mouth 100', 'Headache 60', 'Dry Eyes 36', 'Dizzy 8', 'Paranoid 4']","Blood Orange Kush is an indica-dominant cross of, as of now, the unknown or unnamed genetics Aota x Pinecracker and an unnamed OG. This plant has a bushy structure that doesn’t yield much, but the dense, trichome-covered nugs are prized for their bright terpene profile and heavy effects. Blood Orange Kush emits a bouquet of gas and tart citrus that fills the room and coats the palate. Its uplifting mental buzz and relaxing physical effects make Blood Orange Kush a solid option for consumers looking to abate minor pain and elevate mood.","['Orange', 'Citrus', 'Sweet']","[100.0, 12.0358514724712, 7.93854033290653, 7.93854033290653, 0.0, 0.0]",,0.95
Bloodhound,4.29411764705882,17,"['Energetic 100', 'Happy 94.1717791411043', 'Uplifted 89.5705521472393', 'Talkative 80.0613496932515', 'Relaxed 30.0613496932515', 'Stress 100', 'Depression 98.8095238095238', 'Pain 96.4285714285714', 'Fatigue 1.19047619047619', 'Headaches 1.19047619047619', 'Dry Eyes 100']","Bloodhound is the obscure cross of Huckleberry Hound and Guard Dawg (by RedEyed Genetics). This genetic coupling was motivated by the desire to preserve the beautiful foliage and tartness of Huckleberry Hound while co-opting Guard Dawg’s potency. With a decent yield and THC percentage upwards of 24%, this strain smells of tart fruit intermixed with an earthy chocolate fondue flavor.","['Earthy', 'Sage', 'Spicy/Herbal']","[72.707423580786, 100.0, 27.292576419214, 9.1703056768559, 9.1703056768559, 0.0]",24.0,0.5
Bloodwalker,4.75,8,"['Uplifted 100', 'Relaxed 95.8333333333333', 'Happy 87.5', 'Creative 12.5', 'Energetic 12.5', 'Headaches 100', 'Muscle Spasms 100', 'Pain 100', 'Dry Mouth 100']","Bloodwalker is an indica-dominant hybrid from Los Angeles Kush. Developed by crossing Mazar x Blueberry (f.k.a. Skywalker) and Cherry Pie, Bloodwalker offers a relaxing, euphoric high that makes it an excellent choice for a walk through the woods or an afternoon at the lake. The flavor predominately highlights the Cherry Pie genetics with a strong, sweet berry taste followed by subtle diesel undertones. Its aroma is a balance of both worlds, exhibiting notes of sweet cherry and diesel gas.","['Diesel', 'Sweet', 'Berry']","[100.0, 25.0, 0.0, 0.0, 0.0, 0.0]",,0.62
Blowfish,4.13513513513514,37,"['Relaxed 100', 'Uplifted 52.5423728813559', 'Euphoric 52.5423728813559', 'Happy 52.5423728813559', 'Creative 45.7627118644068', 'Pain 100', 'Insomnia 90.9090909090909', 'Muscle Spasms 75.7575757575758', 'Fatigue 69.6969696969697', 'Spasticity 66.6666666666667', 'Dry Mouth 100', 'Dry Eyes 70', 'Anxious 70', 'Headache 3.33333333333333']","Blowfish is an indica-dominant hybrid bred by Dutch Flowers, who crossed a G13 and Oregon Funk hybrid with a G13 and Blue Dot hybrid to create this cannabis strain.","['Lime', 'Lemon', 'Orange']","[63.915547024952, 100.0, 15.9309021113244, 8.06142034548944, 0.0, 4.03071017274472]",23.0,0.56
Blucifer,4.3125,11,"['Happy 100', 'Uplifted 97.2602739726027', 'Euphoric 93.1506849315068', 'Energetic 49.3150684931507', 'Hungry 45.2054794520548', 'Depression 100', 'Headaches 100', 'Lack of Appetite 100', 'Nausea 100', 'Pain 100', 'Headache 100', 'Anxious 100', 'Dry Eyes 6.25', 'Dry Mouth 3.125']","Created in 2013 by Terraform Genetics who crossed Conspiracy Kush and Blue Dream, Blucifer is a blue-ish purple sativa strain that radiates with the smell of blueberries and cream with a spicy finish. These frosty buds are meant to leave you feeling productive and motivated, making it a perfect choice for inspiring that long-overdue nature walk. Blucifer works well in indoor gardens with minimal direct sunlight, and it should finish flowering in 55 to 60 days.","['Blueberry', 'Pungent', 'Sage']","[100.0, 33.3860759493671, 8.38607594936709, 16.6139240506329, 0.0, 0.0]",19.0,0.30000000000000004
